nome;endereco;municipio;estado;cep;quantidade_cursos;cursos
Fatec Adamantina;Rua Parana, 400 (Antigo CEFAM) - Jardim Brasil;Adamantina;SP;17800000;2;Ciência de Dados e Gestão Comercial
Fatec Americana;Rua Emilio de Menezes - Gleba B - Vila Amorim;Americana;SP;13469111;7;Análise e Desenvolvimento de Sistemas, Design de Moda, Gestão Empresarial, Jogos Digitais, Logística, Produção Têxtil e Segurança da Informação
Fatec Araçatuba;Avenida Prestes Maia, 1764 - Jardim Ipanema;Araçatuba;SP;16052045;3;Análise e Desenvolvimento de Sistemas, Biocombustíveis e Gestão Empresarial
Fatec Araraquara;Rua Precide Scarpino Martim, 126 - Jardim Santa Clara;Araraquara;SP;14811373;3;Gestão Comercial, Gestão Empresarial e Segurança da Informação
Fatec Araras;Rua Jarbas Leme de Godoy, 875 - Jardim José Ometto II;Araras;SP;13606389;2;Desenvolvimento de Software Multiplataforma e Gestão Empresarial
Fatec Assis;Avenida Dom Antônio, 2100 - Jardim Paraná;Assis;SP;19806173;2;Gestão Comercial e Gestão da Tecnologia da Informação
Fatec Barretos;Vila da Rua;Barretos;SP;14780060;1;Gestão Hospitalar
Fatec Barueri;Avenida Carlos Capriotti, 123 - Novo Centro Comercial;Barueri;SP;6401136;8;Comércio Exterior, Design de Mídias Digitais, Eventos, Gestão da Tecnologia da Informação, Gestão de Recursos Humanos, Gestão Empresarial, Logística e Transporte Terrestre
Fatec Bauru;Rua Manoel Bento Cruz, 3-30 - Centro;Bauru;SP;17015171;6;Automação Industrial, Banco de Dados, Gestão Empresarial, Gestão Hospitalar, Redes de Computadores, Sistemas Biomédicos
Fatec Bebedouro;Rua Doutor Oscar Werneck, 1286 - Centro;Bebedouro;SP;14701120;2;Big Data no Agronegócio e Logística
Fatec Botucatu;Avenida José Ítalo Bacchi - Jardim Aeroporto;Botucatu;SP;18606855;6;Agronegócio, Análise e Desenvolvimento de Sistemas, Gestão Empresarial, Logística, Produção Industrial e Radiologia
Fatec Bragança Paulista;Vila da Rua;Bragança Paulista;SP;12926674;5;Análise e Desenvolvimento de Sistemas, Gestão da Tecnologia da Informação, Gestão Empresarial, Gestão Financeira e Logística
Fatec Campinas;Avenida Cônego Antônio Roccatto, 593 - Jardim Santa Mônica;Campinas;SP;13082014;5;Análise e Desenvolvimento de Sistemas, Gestão da Tecnologia da Informação, Gestão de Energia e Eficiência Energética, Gestão Empresarial e Processos Químicos
Fatec Capão Bonito;Rua Amantino de Oliveira Ramos, 60 - Terras de Embiruçu;Capão Bonito;SP;18304755;3;Agroindústria, Gestão Empresarial e Silvicultura
Fatec Carapicuíba;Avenida Francisco Pignatari, 650 - Vila Gustavo Correia;Carapicuíba;SP;6310390;6;Análise e Desenvolvimento de Sistemas, Design de Mídias Digitais, Gestão Empresarial, Jogos Digitais, Logística e Secretariado
Fatec Catanduva;Rua Maranhão, 898 - Centro;Catanduva;SP;15800020;3;Automação Industrial, Gestão da Tecnologia da Informação e Gestão Empresarial
Fatec Cotia;Rua Nelson Raineri, 700 - Bairro do Lageado;Cotia;SP;6702155;4;Ciência de Dados, Desenvolvimento de Software Multiplataforma, Gestão da Produção Industrial e Gestão Empresarial
Fatec Cruzeiro;Avenida Rotary, 383 - Vila Paulista;Cruzeiro;SP;12701170;4;Análise e Desenvolvimento de Sistemas, Eventos, Gestão da Produção Industrial e Gestão Empresarial
Fatec Diadema;Avenida Luiz Merenda, 443 - Jardim Campanário;Diadema;SP;9931390;3;Cosméticos, Desenvolvimento de Software Multiplataforma e Gestão da Produção Industrial
Fatec Ferraz de Vasconcelos;Rua Carlos de Carvalho, 200 - Jardim São João;Ferraz de Vasconcelos;SP;8545120;2;Análise e Desenvolvimento de Sistemas e Gestão da Produção Industrial
Fatec Franca;Rua Irênio Grecco, 4580 - Vila Imperador;Franca;SP;14405191;5;Análise e Desenvolvimento de Sistemas, Desenvolvimento de Software Multiplataforma, Gestão da Produção Industrial, Gestão de Recursos Humanos e Gestão Empresarial
Fatec Franco da Rocha;Rodovia Prefeito Luiz Salomão Chamma, 240 - Pouso Alege;Franco da Rocha;SP;7857050;2;Gestão da Tecnologia da Informação e Gestão de Energia e Eficiência Energética
Fatec Garça;Avenida Presidente Vargas, 2331 - José Ribeiro;Garça;SP;17400000;4;Análise e Desenvolvimento de Sistemas, Gestão Empresarial, Manufatura Avançada e Mecatrônica Industrial
Fatec Guaratinguetá;Avenida Professor João Rodrigues Alckmin, 1501 - Jardim Esperança;Guaratinguetá;SP;12517475;7;Análise e Desenvolvimento de Sistemas, Gestão Comercial, Gestão da Produção Industrial, Gestão da Tecnologia da Informação, Gestão Empresarial, Gestão Financeira e Logística
Fatec Guarulhos;Rua Cristóbal Cláudio Elilo, 88 - Parque Cecap;Guarulhos;SP;7190065;6;Análise e Desenvolvimento de Sistemas, Comércio Exterior, Gestão da Produção Industrial, Gestão Empresarial, Logística e Logística Aeroportuária
Fatec Indaiatuba;Vila da Rua;Indaiatuba;SP;13334100;6;Análise e Desenvolvimento de Sistemas, Comércio Exterior, Gestão de Serviços, Gestão Empresarial, Logística Aeroportuária e Redes de Computadores
Fatec Itapetininga;Rua Doutor João Vieira de Camargo, 104 - Vila Barth;Itapetininga;SP;18205600;6;Agronegócio, Análise e Desenvolvimento de Sistemas, Comércio Exterior, Gestão Ambiental, Gestão da Produção Industrial e Gestão Empresarial
Fatec Itapira;Rua Tereza Lera Paoletti, 570/590 - Jardim Bela Vista;Itapira;SP;13974080;3;Desenvolvimento de Software Multiplataforma, Gestão da Produção Industrial e Gestão Empresarial
Fatec Itaquaquecetuba;Avenida Itaquaquecetuba, 711 - Vila Monte Belo;Itaquaquecetuba;SP;8577210;4;Gestão Comercial, Gestão da Tecnologia da Informação, Gestão Empresarial e Secretariado
Fatec Itatiba;Rua Daniel Peçanha de Moraes, 200 - Jardim Salessi;Itatiba;SP;13251140;3;Desenvolvimento de Software Multiplataforma, Gestão da Produção Industrial e Gestão Empresarial
Fatec Itu;Avenida Tiradentes, 1211 - Parque das Indústrias;Itu;SP;13309640;5;Análise e Desenvolvimento de Sistemas, Eventos, Gestão da Tecnologia da Informação, Gestão Empresarial e Mecatrônica Industrial
Fatec Jaboticabal;Avenida Eduardo Zambianchi, 31 - Vila Industrial;Jaboticabal;SP;14883130;4;Biocombustíveis, Gestão Ambiental, Gestão Empresarial e Marketing
Fatec Jacareí;Avenida Faria Lima, 155 - Jardim Santa Maria;Jacareí;SP;12328070;3;Desenvolvimento de Software Multiplataforma, Geoprocessamento e Meio Ambiente e Recursos Hídricos
Fatec Jales;Rua Vicente Leporace, 2630 - Jardim Trianon;Jales;SP;15703116;4;Agronegócio, Análise e Desenvolvimento de Sistemas, Gestão Empresarial e Sistemas para Internet
